raw_source,standard_source
"Destinos Travel Cia Ltda",destinos_travel
"Go Diferente",go_diferente
"Wayfaring Spain SL",wayfaring_spain
"Tripwix Lda",tripwix
"First In Service Travel",first_in_service
"First In Service",first_in_service
"Venturion Private Club",venturion
"Olimar",olimar
"Brickell Travel Management",brickell_travel
"Travel One Agência De Viagens E Turismo",travel_one
"Bestours SA",bestours
"SF Terminal Solutions Pte Ltd",sf_terminal
"Orbe Travel Club Spain S.L.U",orbe_travel
"Sunstone Life Science Ventures A/S",sunstone
"Voeja Tour International LLC",voeja_tour
"Spring Breeze SL",spring_breeze
"Hopper (USA), Inc.",hopper
"Top Tours GmbH",top_tours
"European Council On Foreign Relations",ecfr
"Felix Leiberg, Unipessoal Lda",felix_leiberg
"Adriana Lage Toma",adriana_lage_toma
"Alma Moura Lisbon Residences",alma_moura
"Carrstudio S.R.L",carrstudio
"Teresa Perez Tours",teresa_perez
"Excelência De Portugal",excelencia_portugal
"VP - Viagens Portuguesas Lda",viagens_portuguesas
"Grupo Pestana Pousadas, S.A.",pestana
"Transalpino Viagens E Turismo",transalpino
"Made For Spain And Portugal",made_for_spain_portugal
"Younique Tailor Tours Lda",younique_tailor_tours
"Protravel International LDT",protravel
"Letango Consulting LLC DBA Tours",letango_tours
"Explore Portugal - Operador Turístico, Lda",explore_portugal
"Guestcentric",unknown_ota
"FRTravel",frtravel
"The World Of Envy AB",world_of_envy
"Prestigia",prestigia
"Embark - Beyond Travel",embark
"La Route Des Voyages",la_route_des_voyages
"Magic Portugal Unipessoal Lda.",magic_portugal
"Product League BV",product_league
"Agena Voyages",agena_voyages
"Selections Operadora Turismo Ltda - EPP",selections_operadora
"Odisseias Puras - Viagens E Animação Turistica, S.A.",odisseias
"Travelsens SL",travelsens
"Largay Travel",largay_travel
"Bike In Portugal",bike_in_portugal
"Travel Experts Inc",travel_experts
"WebBeds FZ-LLC",webbeds
"Big Family Lda",big_family
"Ascot Travel",ascot_travel
"NUBA Expediciones, S.L.",nuba
"FPN, Lda",fpn
"LSposito Unipessoal Lda",lsposito
"Crossing Travel Company Ltd",crossing_travel
"Prime Promotion, Lda",prime_promotion
"Jungle Concept SA",jungle_concept
"ABS, Lda",abs
"Tropical Piramyd",tropical_piramyd
"Romy Viagens Ltda",romy_viagens
"Cistris Lda",cistris
"Booking.com",booking
"EQTY Capital",eqty_capital
"Voyage Privé UK Ltd",voyage_prive
"Viagens Abreu S.A",abreu
"MFigueiredo Events, Lda",mfigueiredo_events
"Womens Quest",womens_quest
"W2M Corporate SLU (Central)",w2m
"Tribù Travel LLC",tribu_travel
"Only-Apartments, S.A.",only_apartments
"Adelaide Sousa Ferreira, Lda",adelaide_sousa_ferreira
"Rosemount Travel",rosemount_travel
"Trips And Ships Luxury Travel",trips_and_ships
"Mirpuri Sailing Trophy",mirpuri_sailing
"Eco Viagens E Turismo, Lda",eco_viagens
"Open Viagens E Turismo Lda",open_viagens
"Airbnb",airbnb
"VRBO",vrbo
"Montserrat Travel & Tours, Ltd",montserrat_travel
"Moah Destinos Exclusivos",moah
"Exclusive Escapes Travel Consultancy",exclusive_escapes
"Lounge Luxury Travel Consulting",lounge_luxury
